Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
Montagnarde Altitude 6	Brasserie de l’Abbaye des Rocs	Blonde ale	6.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	N/A
Brune	Brasserie de l’Abbaye des Rocs	Donker	9.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	N/A
Seaking Blond	Huisbier	Blond	6.5	N/A	Klemskerke	https://www.huisbier.be/nl/	N/A
Montagnarde	Brasserie de l’Abbaye des Rocs	Sterke ale amber	9.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	N/A
Achel Blond 8	De Achelse Kluis - Achel	Sterke ale blond	8.0	N/A	HAMONT-ACHEL	https://achelsekluis.org/nl	N/A
Blanche des Honnelles	Brasserie de l’Abbaye des Rocs	Witbier	6.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	N/A
Smisje Bananenbier	Smisje	Fruitbier banaan	6.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Dubbel	Smisje	Dubbel abdij	9.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Dubbel Dadel	Smisje	Dubbel abdij	9.0	N/A	Oudenaarde	https://smisje.wordpress.com/	N/A
Smisje Honingbier	Smisje	Honingbier	6.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Kerst	Smisje	Sterke ale donker	11.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
Smisje Tripel	Smisje	Tripel	9.0	N/A	Oudenaarde	https://smisje.wordpress.com/	No longer in production
't Zelfde	Bosteels	Blonde ale	6.1	N/A	Buggenhout	https://bosteelsbrewery.com/	N/A
621	Authentique	Dubbel	7.0	N/A	Blaton	https://www.authentiquebrasserie.be/	N/A
Seaking Bruin	Huisbier	Donker	8.5	N/A	Klemskerke	https://www.huisbier.be/nl/	N/A
Seaking Tripel	Huisbier	Tripel	8.5	N/A	Klemskerke	https://www.huisbier.be/nl/	N/A
Bistro Zee Zee	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
Aarschotse Bruine	Aarschot	Rood bruin	4.0	N/A	Aarschot	https://www.hetgasthuis.be/stadsbrouwerij	N/A
Val de Sambre 6 (Ambrée)	Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	Donkere ale	6.0	N/A	GOZEE	https://brasserietaverneada.be/	N/A
Blonde des Peres sur lie	Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	Blonde ale	6.0	N/A	GOZEE	https://brasserietaverneada.be/	N/A
Brune des Peres sur lie	Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	Dubbel	6.0	N/A	GOZEE	https://brasserietaverneada.be/	N/A
Kruidig Blondje	Huisbier	Blond	6.5	N/A	Klemskerke	https://www.huisbier.be/nl/	N/A
Jubbles	De Graal	Witbier	8.5	N/A	Brakel	https://degraal.be/	N/A
Super Noel	Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	Sterke ale donker	9.0	N/A	GOZEE	https://brasserietaverneada.be/	N/A
Triple Blonde sur lie	Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	Tripel	9.0	N/A	GOZEE	https://brasserietaverneada.be/	N/A
Triple Brune sur lie	Brasserie Taverne de l'Abbaye d'Aulne/Val de Sambre	Tripel	8.0	N/A	GOZEE	https://brasserietaverneada.be/	N/A
Spéciale Noël	Brasserie de l’Abbaye des Rocs	Donker	9.0	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	N/A
Abdij Dendermonde Tripel	De Block	Tripel	8.0	N/A	Merchtem-Peisegem	https://www.brewerydeblock.com/nl/	N/A
Achel Bruin 8	De Achelse Kluis - Achel	Sterke ale donker	8.0	N/A	HAMONT-ACHEL	https://achelsekluis.org/nl	N/A
Achel Blond Extra 9.5	De Achelse Kluis - Achel	Tripel	9.5	N/A	HAMONT-ACHEL	https://achelsekluis.org/nl	N/A
Adelardus Dubbel	Kerkom	Dubbel	7.0	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Adelardus Tripel	Kerkom	Tripel	9.0	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Adler	Haacht	Pils	5.0	N/A	Boortmeerbeek	https://haacht.com/nl-BE	N/A
Adriaen Brouwer	Roman	Rood bruin	5.0	N/A	Oudenaarde	https://www.roman.be/nl	N/A
Affligem Blond	Affligem	Blonde ale	6.8	24.0	Opwijk	https://www.affligembeer.com/be/nl/homepage	N/A
Affligem Dubbel	Affligem	Dubbel	6.8	17.0	Opwijk	https://www.affligembeer.com/be/nl/homepage	N/A
Affligem Tripel	Affligem	Tripel	9.5	N/A	Opwijk	https://www.affligembeer.com/be/nl/homepage	N/A
Akila Export	Alken-Maes	Pils	4.0	N/A	Alken	https://www.alken-maes.be/	No longer in production
Akila Pils	Alken-Maes	Pils	5.0	N/A	Alken	https://www.alken-maes.be/	No longer in production
Alvinne Blond	Alvinne	Blonde ale	6.0	N/A	Moen/Zwevegem 	https://www.alvinne.com/	No longer in production
Mussebier	De Graal	blond	6.0	30.0	Brakel	https://degraal.be/	N/A
Alvinne Bruin	Alvinne	Donkere ale	7.0	N/A	Moen/Zwevegem 	https://www.alvinne.com/	No longer in production
Alvinne Extra Blond	Alvinne	Blonde ale	7.0	N/A	Moen/Zwevegem 	https://www.alvinne.com/	No longer in production
Ambiorix Dubbel Ongefilterd	Slaghmuylder	Dubbel	8.0	N/A	Ninove	http://www.witkap.be	N/A
Ambrel	Huyghe	Amber ale	6.2	N/A	Melle	https://www.delirium.be/nl	N/A
Antoon	De Koninck	Blonde ale	6.0	N/A	Antwerpen	https://www.dekoninck.be/	No longer in production
Arabier	De Dolle Brouwers	Sterke ale blond	8.0	N/A	Esen-Diksmuide	https://www.oerbier.be/	N/A
Artevelde	Huyghe	Amber ale	5.7	N/A	Melle	https://www.delirium.be/nl	N/A
Artevelde Grand Cru	Huyghe	Amber ale	7.3	N/A	Melle	https://www.delirium.be/nl	N/A
Augustijn blond	Van Steenberge	Blond	7.5	N/A	Ertvelde	https://www.vansteenberge.com/nl	N/A
Augustijn Grand Cru	Van Steenberge	Sterke ale blond	9.0	N/A	Ertvelde	https://www.vansteenberge.com/nl	N/A
Babbelaar	Proefbrouwerij	Blond	6.5	N/A	Lochristi	http://www.proefbrouwerij.com	N/A
Bloody Cowboy	De Graal	Donker	6.8	N/A	Brakel	https://degraal.be/	N/A
Balthazar	Alvinne	Donker	9.0	N/A	Moen/Zwevegem 	https://www.alvinne.com/	N/A
BullsEye	De Graal	Tripel	9.0	N/A	Brakel	https://degraal.be/	N/A
Vibb Kartuizers	VIBB	Tripel	9.0	N/A	Ninove	https://vibb.be/	N/A
VIBB Prior	VIBB	Tripel	9.0	N/A	Ninove	https://vibb.be/	N/A
VIBB Blond	VIBB	Blond	5.5	N/A	Ninove	https://vibb.be/	N/A
Bavik Pony-Stout	De Brabandere - voorheen Bavik	Stout	5.0	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Bavik Premium Export	De Brabandere - voorheen Bavik	Pils	5.0	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Bavik Premium Pils	De Brabandere - voorheen Bavik	Pils	5.2	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Bavik Triple Bock	De Brabandere - voorheen Bavik	Tripel	3.0	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Tournee Beaurinoise	Caracole	Blonde ale	7.0	N/A	Falmignoul	https://www.brasseriecaracole.be/	N/A
Beersel Bio	3 Fonteinen	Ale	7.0	N/A	Lot (Beersel)	https://www.3fonteinen.be/nl/	No longer in production
Beersel Blond	3 Fonteinen	Blond	7.0	N/A	Lot (Beersel)	https://www.3fonteinen.be/nl/	N/A
Beersel Tarwe	3 Fonteinen	Witbier	6.0	N/A	Lot (Beersel)	https://www.3fonteinen.be/nl/	No longer in production
VIBB Bio	VIBB	Blond	6.5	N/A	Ninove	https://vibb.be/	N/A
Bel Pils	Duvel Moortgat	Pils	5.3	N/A	Breendonk-Puurs	https://www.duvel.com/	N/A
Big Chouffe	Achouffe	Sterke ale	8.0	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	N/A
La Chouffe	Achouffe	Sterke ale	8.0	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	N/A
Le Tarzan Flamand	Uncharted Brew Co	IPA	8.2	N/A	Antwerpen	https://www.unchartedbrewco.be/	N/A
Preutekoeler	De Graal	Kriek	6.9	N/A	Brakel	https://degraal.be/	N/A
't Jefke	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
Ne Janneman	Kerkom	Donker	7.0	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
la Vieille Salme	Detrembleur SPRL	Sterke ale	8.3	N/A	Grand-Halleux	http://www.lavieillesalme.com/fr/brasserie-277	N/A
Chouffe-bok 6666	Achouffe	Bokbier	6.5	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	N/A
N'Ice Chouffe	Achouffe	Sterke ale	10.0	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	N/A
Alken Faro	Alken-Maes	Faro	1.0	N/A	Alken	https://www.alken-maes.be/	N/A
Milleneir Baarle Nassau - Baarle Hertog	Achouffe	Strong Golden Ale	8.5	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	No longer in production
Anglo pils	Alken-Maes	Pils	4.0	N/A	Alken	https://www.alken-maes.be/	N/A
La Rhétorique	Monalixa	Amber	9.2	27.0	Roclenge-Sur-Geer	http://monalixa.be/	N/A
't Muzikantje	De Graal	Blond	6.8	N/A	Brakel	https://degraal.be/	N/A
Cristal Alken	Alken-Maes	Pils	4.7	N/A	Alken	https://www.alken-maes.be/	N/A
'T Wiske	De Graal	Donker	6.5	N/A	Brakel	https://degraal.be/	N/A
Afschuimer	De Graal	Donker	9.0	N/A	Brakel	https://degraal.be/	N/A
Arvaria Blond Hop	De Graal	Blond	7.5	N/A	Brakel	https://degraal.be/	N/A
Zulte	Alken-Maes	Rood bruin	4.7	N/A	Alken	https://www.alken-maes.be/	N/A
Reinaert amber	Proefbrouwerij	Amber ale	7.0	N/A	Lochristi	http://www.proefbrouwerij.com	N/A
Reinaert tripel	Proefbrouwerij	Tripel	9.0	N/A	Lochristi	http://www.proefbrouwerij.com	N/A
Gouden Carolus Classic	Het Anker	Sterke ale	8.5	16.0	Mechelen	https://www.hetanker.be/nl	N/A
B.Less	De Graal	Blond	4.5	N/A	Brakel	https://degraal.be/	N/A
Mechelschen bruynen	Het Anker	Ale	6.0	N/A	Mechelen	https://www.hetanker.be/nl	No longer in production
L'Aldegonde brune	Artisans Brasseurs/Brasserie Mibrana	Donker	7.5	N/A	Namen	N/A	No longer in production
L'Aldegonde blonde	Artisans Brasseurs/Brasserie Mibrana	Blond	7.5	N/A	Namen	N/A	No longer in production
Marlagne blanche	Artisans Brasseurs/Brasserie Mibrana	Witbier	5.5	N/A	Namen	N/A	No longer in production
Belzebubs Bulldozer	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
Bass pale ale	AB InBev	Ale	5.2	N/A	Leuven	https://www.stellaartois.com/	N/A
Bergenbrau	AB InBev	Pils	5.0	N/A	Leuven	https://www.stellaartois.com/	No longer in production
Centric Blond	De Graal	Blond	6.8	N/A	Brakel	https://degraal.be/	N/A
C.T.S. Scotch	AB InBev	Scotch	7.2	N/A	Leuven	https://www.stellaartois.com/	N/A
Campbell's scotch	AB InBev	Scotch	7.7	N/A	Leuven	https://www.stellaartois.com/	N/A
Centric Tripel	De Graal	Tripel	9.0	N/A	Brakel	https://degraal.be/	N/A
Ninoofse Col Blond	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
Ginder ale	AB InBev	Ale	5.1	N/A	Leuven	https://www.stellaartois.com/	N/A
Drapo	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
La Victoire	Monalixa	Rye Beer	6.1	20.0	Roclenge-Sur-Geer	http://monalixa.be/	N/A
Horse ale	AB InBev	Belgian Ale - Pale / Golden	5.0	N/A	Leuven	https://www.stellaartois.com/	No longer in production
Julius	Hoegaarden	Reinaert amber	8.8	N/A	Hoegaarden	https://hoegaarden.com/	N/A
Léon Dégustation	Monalixa	Pale Ale	7.15	18.0	Roclenge-Sur-Geer	http://monalixa.be/	N/A
Erman	De Graal	Donker	6.5	N/A	Brakel	https://degraal.be/	N/A
Graaf Lodewijk Van Loon	De Graal	Fruitbier	6.0	N/A	Brakel	https://degraal.be/	N/A
Lamot pilsor	Lamot - gestopt in 2000	Pils	4.8	N/A	Mechelen	N/A	No longer in production
Loburg	AB InBev	Pils	5.7	N/A	Leuven	https://www.stellaartois.com/	N/A
Piedboeuf blond	Brasserie Piedboeuf	Blond	1.1	N/A	Jupille-sur-Meuse	https://jupiler.be/nl	N/A
Piedboeuf brune	Brasserie Piedboeuf	Donker	1.5	N/A	Jupille-sur-Meuse	https://jupiler.be/nl	N/A
Safir	AB InBev	Pils	5.2	N/A	Leuven	https://www.stellaartois.com/	No longer in production
Lerareling Bruin	De Graal	Donker	8.5	N/A	Brakel	https://degraal.be/	N/A
Minnewoater	De Graal	Blond	6.8	N/A	Brakel	https://degraal.be/	N/A
Stella Artois	AB InBev	Pils	5.2	N/A	Leuven	https://www.stellaartois.com/	N/A
Nachtoileken	De Graal	Amber	6.8	N/A	Brakel	https://degraal.be/	N/A
Stella Artois light	AB InBev	Laagalcoholisch blond	3.4	N/A	Leuven	https://www.stellaartois.com/	N/A
Stella Artois NA	AB InBev	Laagalcoholisch blond	0.05	N/A	Leuven	https://www.stellaartois.com/	N/A
Supra pils	Dendria - gestopt in 1963	Pils	5.0	N/A	Onkerzele	N/A	N/A
Opstal	De Graal	Strong Golden Ale	8.5	N/A	Brakel	https://degraal.be/	N/A
Vieux Temps	AB InBev	Amber ale	5.5	N/A	Leuven	https://www.stellaartois.com/	N/A
Whitbread extra stout	AB InBev	Stout	5.1	N/A	Leuven	https://www.stellaartois.com/	N/A
Whitbread pale ale	AB InBev	Pale ale	5.7	N/A	Leuven	https://www.stellaartois.com/	N/A
Wiel's	AB InBev	Pils	5.0	N/A	Leuven	https://www.stellaartois.com/	No longer in production
Campbell's christmas	AB InBev	Scotch	8.3	N/A	Leuven	https://www.stellaartois.com/	N/A
Oud-Hansbeeks Blondje	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
Bavik Dinner beer blond	De Brabandere - voorheen Bavik	Blond	1.5	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Bavik Dinner beer faro	De Brabandere - voorheen Bavik	Faro	1.5	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Export	De Brabandere - voorheen Bavik	Pils	4.5	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Saint-Sylvain	De Graal	Donker	6.0	N/A	Brakel	https://degraal.be/	N/A
Sjotbiker	De Graal	Blond	6.8	N/A	Brakel	https://degraal.be/	N/A
Stravvn Dries	De Graal	Blond	9.0	N/A	Brakel	https://degraal.be/	N/A
Surprise Kriek	De Graal	Kriek	6.5	N/A	Brakel	https://degraal.be/	N/A
Bavik Witbier	De Brabandere - voorheen Bavik	Witbier	5.0	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Fancy	De Brabandere - voorheen Bavik	Laagalcoholisch	1.0	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Goldburg	De Brabandere - voorheen Bavik	Pils	5.2	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Petrus triple	De Brabandere - voorheen Bavik	Tripel	7.5	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Petrus speciale	De Brabandere - voorheen Bavik	Ale	5.5	N/A	Bavikhove	https://www.brouwerijdebrabandere.be/nl	N/A
Hof Wijmenier	De Graal	Blond	6.8	N/A	Brakel	https://degraal.be/	N/A
Tarcis	De Graal	Blond	6.0	N/A	Brakel	https://degraal.be/	N/A
La Becasse framboise	Belle-Vue	Fruitbier	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
La Becasse gueuze lanbic	Belle-Vue	Gueuze	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
La Becasse kriek extra	Belle-Vue	Fruitbier	4.3	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Belle-Vue framboise	Belle-Vue	Fruitbier frambozen	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Belle-Vue gueuze	Belle-Vue	Gueuze	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Belle-Vue kriek	Belle-Vue	Fruitbier krieken	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Belle-Vue kriek LA	Belle-Vue	Fruitbier krieken	1.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Belle-Vue Selection Lambic	Belle-Vue	Lambik	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Dekoninck gueuze	Boon	Gueuze	6.0	N/A	Lembeek	https://www.boon.be/	N/A
Dekoninck kriek	Boon	Fruitbier krieken	5.0	N/A	Lembeek	https://www.boon.be/	N/A
Vesbier	De Graal	Blond	7.0	N/A	Brakel	https://degraal.be/	N/A
De Neve gueuze	Belle-Vue	Gueuze	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	No longer in production
Geronimo Grape Ale	HopHemel	Grape ale	6.8	N/A	Hasselt	https://hophemel.be	N/A
De Neve kriek	Belle-Vue	Fruitbier krieken	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	No longer in production
Zot van Brakel	De Graal	Blond	6.5	N/A	Brakel	https://degraal.be/	N/A
Belle-Vue Kriek Primeur	Belle-Vue	Fruitbier krieken	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
La Becasse kriek lambik	Belle-Vue	Fruitbier krieken	5.2	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Krukker	De Boeretang GCV	Blond	7.3	N/A	Malle	http://brouwerijdeboeretang.be	N/A
Belle-Vue kriekenlambik	Belle-Vue	Fruitbier krieken	5.0	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Belle-Vue oude lambik	Belle-Vue	Lambik	5.0	N/A	St-Pieters-Leeuw	https://ab-inbev.be/	N/A
Bel'chic	La Binchoise	Tripel	10.0	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
Hellekapelle	De Bie	Ale	5.0	N/A	Wakken	https://www.brouwerijdebie.be/	N/A
Helleketelbier	De Bie	Ale	7.0	N/A	Wakken	https://www.brouwerijdebie.be/	N/A
Zatte Bie	De Bie	Sterke ale	9.0	N/A	Wakken	https://www.brouwerijdebie.be/	N/A
La Bruyere blonde	La Binchoise	Blond	6.8	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
La Bruyere brune	La Binchoise	Donker	8.7	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
Billie Vanillie	Gistgeest	Strong Dark Ale	10.0	N/A	Deurne	https://www.gistgeest.be	N/A
Hoppy Ending	Gistgeest	IPA	7.0	N/A	Deurne	https://www.gistgeest.be	N/A
Ijssalon Bianca	Gistgeest	Stout	7.0	N/A	Deurne	https://www.gistgeest.be	N/A
Nonkel Hoop	Gistgeest	IPA	6.5	65.0	Deurne	https://www.gistgeest.be	N/A
Jesus Kveik Superstar	Gistgeest	IPA	7.5	70.0	Deurne	https://www.gistgeest.be	N/A
RelaTiny	Gistgeest	Porter	8.0	60.0	Deurne	https://www.gistgeest.be	N/A
Fakir	La Binchoise	Ale	6.8	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	No longer in production
Singing in the Rye	Gistgeest	IPA	6.5	N/A	Deurne	https://www.gistgeest.be	N/A
Weiss Weiss Baby	Gistgeest	Witbier	4.6	N/A	Deurne	https://www.gistgeest.be	N/A
La Malognarde blonde	La Binchoise	Blond	8.5	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
La Malognarde brune	La Binchoise	Donker	8.0	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
Beetnik	Gistgeest	Stout	6.5	20.0	Deurne	https://www.gistgeest.be	N/A
Bitte Ein Biet	Gistgeest	Saison	6.5	30.0	Deurne	https://www.gistgeest.be	N/A
Blok Saison	Gistgeest	Saison	7.5	N/A	Deurne	https://www.gistgeest.be	N/A
La St. Quirin blonde	Bouillon	Blond	6.0	N/A	Sensenruth	https://wallux.com/brasserie-de-bouillon	N/A
La St. Quirin brune	Bouillon	Donker	8.0	N/A	Sensenruth	https://wallux.com/brasserie-de-bouillon	N/A
Blok IPA Bier	Gistgeest	IPA	N/A	N/A	Deurne	https://www.gistgeest.be	N/A
Biere de Paques	La Binchoise	Ale	7.0	N/A	Binche	https://www.brasserielabinchoise.be/en/brasserie-la-binchoise	N/A
Dark Saison	Gistgeest	Saison	7.0	N/A	Deurne	https://www.gistgeest.be	N/A
Don't Mention the War	Gistgeest	IPA	7.0	N/A	Deurne	https://www.gistgeest.be	N/A
Dorstvoeding	Gistgeest	Tripel	8.5	N/A	Deurne	https://www.gistgeest.be	N/A
Black Ghost	Fantome	Sterke ale	8.0	N/A	Soy	http://www.fantome.be	N/A
Brise-Bonbons	Fantome	Saison	8.0	N/A	Soy	http://www.fantome.be	N/A
Fantome Saison	Fantome	Saison	8.0	N/A	Soy	http://www.fantome.be	N/A
Magic Ghost	Fantome	Sterke ale	8.0	N/A	Soy	http://www.fantome.be	N/A
Chimay Tripel	L'Abbaye N.D. de Scourmont - Chimay	Tripel	8.0	N/A	Baileux	https://chimay.com/	N/A
Chimay Rood	L'Abbaye N.D. de Scourmont - Chimay	Dubbel abdij	7.0	N/A	Baileux	https://chimay.com/	N/A
Chimay Blauw	L'Abbaye N.D. de Scourmont - Chimay	Sterke ale	9.0	N/A	Baileux	https://chimay.com/	N/A
Chimay  Dorée	L'Abbaye N.D. de Scourmont - Chimay	Ale	4.8	18.0	Baileux	https://chimay.com/	N/A
Rochefort 8	Abbaye Saint-Rémy - Rochefort	Sterke ale	9.2	N/A	Rochefort	http://www.abbaye-rochefort.be/index.php?option=com_content&view=article&id=88⟨=nl	N/A
Rochefort 6	Abbaye Saint-Rémy - Rochefort	Sterke ale	7.5	N/A	Rochefort	http://www.abbaye-rochefort.be/index.php?option=com_content&view=article&id=88⟨=nl	N/A
Rochefort 10	Abbaye Saint-Rémy - Rochefort	Quadrupel	11.3	N/A	Rochefort	http://www.abbaye-rochefort.be/index.php?option=com_content&view=article&id=88⟨=nl	N/A
Westmalle dubbel	Westmalle	Dubbel abdij	7.0	N/A	Westmalle	https://www.trappistwestmalle.be/nl	N/A
Westmalle Tripel	Westmalle	Tripel	9.5	N/A	Westmalle	https://www.trappistwestmalle.be/nl	N/A
Westvleteren Blond	Abdij Sint-Sixtus Westvleteren	Blonde ale	5.8	N/A	Westvleteren	https://www.trappistwestvleteren.be/nl	N/A
Westvleteren 8	Abdij Sint-Sixtus Westvleteren	Sterke ale donker	8.0	N/A	Westvleteren	https://www.trappistwestvleteren.be/nl	N/A
Westvleteren 12	Abdij Sint-Sixtus Westvleteren	Quadrupel	10.2	N/A	Westvleteren	https://www.trappistwestvleteren.be/nl	N/A
Chouffe, Biere de Mars	Achouffe	Seizoensbier	7.5	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	N/A
Chouffe, Biere du soleil	Achouffe	Seizoensbier	4.5	N/A	Achouffe-Wibrin	https://chouffe.com/nl-be/welkom/	N/A
Anker Blond	Het Anker	Blond	6.5	N/A	Mechelen	https://www.hetanker.be/nl	No longer in production
Boscoli	Het Anker	Fruitbier	6.5	11.0	Mechelen	https://www.hetanker.be/nl	N/A
Blusser	Het Anker	Pils	5.4	N/A	Mechelen	https://www.hetanker.be/nl	No longer in production
Gouden Carolus Imperial Dark	Het Anker	Sterke ale donker	11.0	15.0	Mechelen	https://www.hetanker.be/nl	N/A
Gouden Carolus Christmas	Het Anker	Sterke ale	10.0	17.0	Mechelen	https://www.hetanker.be/nl	N/A
Gouden Carolus Tripel	Het Anker	Tripel	9.0	22.0	Mechelen	https://www.hetanker.be/nl	N/A
Biere du Boucanier Bonde	Icobes	Sterke ale	11.0	N/A	Evergem	https://www.biereduboucanier.be	N/A
Bink blond	Kerkom	Blond	5.5	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Bink bruin	Kerkom	Ale	5.5	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Aonjaoger	Kerkom	Ale	6.0	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Boecht van den Afgrond (tot 2008)	Kerkom	Ale	7.2	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Eliske	Kerkom	Ale	7.0	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Winterkoninkske	Kerkom	Sterke ale donker	8.3	N/A	Sint-Truiden	https://www.brouwerijkerkom.be/nl/	N/A
Nutty By Nature	Gistgeest	Stout	10.5	N/A	Deurne	https://www.gistgeest.be	N/A
Rabarbarella	Gistgeest	Saison	7.0	N/A	Deurne	https://www.gistgeest.be	N/A
Kriek 3 fonteinen	3 Fonteinen	Fruitbier krieken	5.0	N/A	Lot (Beersel)	https://www.3fonteinen.be/nl/	N/A
Oude geuze	3 Fonteinen	Gueuze	6.0	N/A	Lot (Beersel)	https://www.3fonteinen.be/nl/	N/A
Nounnette	Brasserie de l’Abbaye des Rocs	Tripel	7.5	75.0	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	N/A
Nuits Blanches	Brasserie de l’Abbaye des Rocs	Fruitbier	7.5	N/A	MONTIGNIES-SUR-ROC	http://www.abbaye-des-rocs.com/	No longer in production
La Cervoise de Franchimont	Abbaye de Val-Dieu	Dubbel abdij	6.0	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
La Merveilleuse de Chevremont Blond	Abbaye de Val-Dieu	Sterke ale	7.5	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
Val-Dieu Blonde	Abbaye de Val-Dieu	Blonde ale	6.0	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
Val-Dieu Brune	Abbaye de Val-Dieu	Dubbel abdij	8.0	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
Val-Dieu Biere de Noel	Abbaye de Val-Dieu	Sterke ale donker	7.0	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
Val-Dieu Triple	Abbaye de Val-Dieu	Tripel	9.0	N/A	Aubel	https://www.abbaye-du-val-dieu.be/nl/de-brouwerij/	N/A
Serafijn Blond	Pirlot	Blonde ale	6.2	N/A	Zandhoven	https://www.brouwerijpirlot.be/	N/A
Serafijn Donker	Pirlot	Sterke ale donker	8.0	N/A	Zandhoven	https://www.brouwerijpirlot.be/	N/A
Serafijn kerstlicht	Pirlot	Blond seizoensbier	7.0	N/A	Zandhoven	https://www.brouwerijpirlot.be/	N/A
Serafijn Licht	Pirlot	Witbier	6.2	N/A	Zandhoven	https://www.brouwerijpirlot.be/	N/A
